Date,Price,Open,High,Low,Vol.,Change %
2020-06-23,0.1888,0.1893,0.1904,0.1883,10.26M,-0.0026
2020-06-24,0.1836,0.1888,0.1901,0.1818,35.75M,-0.0275
2020-06-25,0.1816,0.1835,0.1841,0.1789,21.61M,-0.0109
2020-06-26,0.1824,0.1816,0.1868,0.1788,30.25M,0.0044
2020-06-27,0.1752,0.1825,0.1835,0.1688,42.84M,-0.0395
2020-06-28,0.1769,0.1751,0.1798,0.1732,26.67M,0.0097
2020-06-29,0.1772,0.1771,0.1793,0.1751,25.18M,0.0017
2020-06-30,0.1753,0.1773,0.1777,0.1749,12.06M,-0.0107
2020-07-01,0.1765,0.1753,0.1781,0.1738,14.92M,0.0068
2020-07-02,0.1748,0.1765,0.1772,0.1723,31.20M,-0.0096
2020-07-03,0.1763,0.1748,0.1786,0.1744,18.71M,0.0086
2020-07-04,0.1781,0.1762,0.1796,0.176,20.75M,0.0102
2020-07-05,0.177,0.178,0.1787,0.1749,22.15M,-0.0062
2020-07-06,0.1887,0.1769,0.1887,0.1768,41.80M,0.0661
2020-07-07,0.1852,0.1888,0.1888,0.1849,28.83M,-0.0185
2020-07-08,0.2054,0.185,0.2054,0.185,101.61M,0.1091
2020-07-09,0.2026,0.2054,0.2054,0.2005,121.50M,-0.0136
2020-07-10,0.199,0.2026,0.2026,0.1959,61.52M,-0.0178
2020-07-11,0.2011,0.199,0.2025,0.199,52.20M,0.0106
2020-07-12,0.2011,0.2011,0.2018,0.199,32.57M,0
2020-07-13,0.1988,0.2013,0.2031,0.1988,61.21M,-0.0114
2020-07-14,0.1992,0.1988,0.1993,0.1971,30.05M,0.002
2020-07-15,0.1973,0.1991,0.1991,0.1971,17.87M,-0.0095
2020-07-16,0.1944,0.1973,0.1973,0.1907,38.13M,-0.0147
2020-07-17,0.1945,0.1945,0.1967,0.1922,28.40M,0.0005
2020-07-18,0.1998,0.1945,0.2006,0.1945,33.09M,0.0272
2020-07-19,0.1995,0.1998,0.1998,0.1968,25.14M,-0.0015
2020-07-20,0.1947,0.1996,0.1996,0.1943,25.23M,-0.0241
2020-07-21,0.1995,0.1946,0.1996,0.1946,24.04M,0.0247
2020-07-22,0.2036,0.1995,0.2036,0.1971,27.84M,0.0206
2020-07-23,0.2085,0.2036,0.2085,0.2026,47.56M,0.0241
2020-07-24,0.2041,0.2085,0.2085,0.2035,30.45M,-0.0211
2020-07-25,0.2146,0.2039,0.217,0.2039,45.64M,0.0514
2020-07-26,0.2152,0.2146,0.2244,0.2146,60.12M,0.0028
2020-07-27,0.2243,0.2152,0.2243,0.2152,119.76M,0.0423
2020-07-28,0.2304,0.2243,0.2313,0.2191,109.52M,0.0272
2020-07-29,0.243,0.2304,0.2445,0.2304,116.20M,0.0547
2020-07-30,0.2442,0.2432,0.2481,0.2398,73.31M,0.0049
2020-07-31,0.2594,0.244,0.2594,0.244,74.66M,0.0622
2020-08-01,0.291,0.2593,0.291,0.2593,151.66M,0.1218
2020-08-02,0.2879,0.2908,0.3072,0.2808,407.09M,-0.0107
2020-08-03,0.31,0.2881,0.316,0.2881,177.89M,0.0768
2020-08-04,0.3014,0.3103,0.3175,0.2981,133.34M,-0.0277
2020-08-05,0.3024,0.3014,0.3043,0.2935,82.26M,0.0033
2020-08-06,0.3031,0.3025,0.3064,0.3002,77.20M,0.0023
2020-08-07,0.2944,0.3031,0.3065,0.2879,111.38M,-0.0287
2020-08-08,0.2952,0.2944,0.2952,0.2919,33.36M,0.0027
2020-08-09,0.2879,0.2953,0.2954,0.2844,42.14M,-0.0247
2020-08-10,0.2947,0.2879,0.2962,0.2879,68.94M,0.0236
2020-08-11,0.2829,0.2947,0.3021,0.2829,124.11M,-0.04
2020-08-12,0.2823,0.2831,0.2859,0.2768,70.08M,-0.0021
2020-08-13,0.2942,0.2823,0.2942,0.2762,49.44M,0.0422
2020-08-14,0.3,0.2947,0.3032,0.2933,69.44M,0.0197
2020-08-15,0.2989,0.3004,0.3013,0.2972,51.11M,-0.0037
2020-08-16,0.3043,0.2989,0.3043,0.2969,46.40M,0.0181
2020-08-17,0.3151,0.3045,0.3232,0.2999,79.90M,0.0355
2020-08-18,0.3025,0.315,0.3188,0.3025,50.27M,-0.04
2020-08-19,0.2898,0.3025,0.3025,0.2847,44.79M,-0.042
2020-08-20,0.2921,0.2898,0.2935,0.2871,16.07M,0.0079
2020-08-21,0.2794,0.2921,0.2928,0.2794,27.01M,-0.0435
2020-08-22,0.2861,0.2793,0.2861,0.2767,18.20M,0.024
2020-08-23,0.2847,0.2859,0.2864,0.281,12.16M,-0.0049
2020-08-24,0.2887,0.2847,0.2896,0.2834,11.76M,0.014
2020-08-25,0.2764,0.2886,0.2886,0.2736,20.15M,-0.0426
2020-08-26,0.2765,0.2763,0.279,0.2747,13.34M,0.0004
2020-08-27,0.2645,0.2765,0.2771,0.2611,32.37M,-0.0434
2020-08-28,0.2715,0.2646,0.2715,0.2646,15.56M,0.0265
2020-08-29,0.2739,0.2716,0.2756,0.2695,10.89M,0.0088
2020-08-30,0.2831,0.2739,0.2831,0.2739,14.28M,0.0336
2020-08-31,0.2811,0.2831,0.284,0.28,13.64M,-0.0071
2020-09-01,0.2953,0.2809,0.2973,0.2798,38.37M,0.0505
2020-09-02,0.2759,0.2952,0.2982,0.2731,64.19M,-0.0657
2020-09-03,0.2444,0.2759,0.2759,0.2444,74.24M,-0.1142
2020-09-04,0.254,0.2439,0.2589,0.2439,70.60M,0.0393
2020-09-05,0.2373,0.2541,0.2566,0.2373,80.15M,-0.0657
2020-09-06,0.2398,0.2375,0.24,0.2323,46.25M,0.0105
2020-09-07,0.242,0.2398,0.242,0.2306,45.49M,0.0092
2020-09-08,0.2365,0.2424,0.2424,0.2343,39.67M,-0.0227
2020-09-09,0.2391,0.2366,0.2411,0.2344,20.47M,0.011
2020-09-10,0.2433,0.2388,0.2468,0.2388,25.80M,0.0176
2020-09-11,0.2425,0.2431,0.2436,0.2381,17.21M,-0.0033
2020-09-12,0.2475,0.2425,0.2476,0.2418,13.63M,0.0206
2020-09-13,0.242,0.2476,0.253,0.2401,24.77M,-0.0222
2020-09-14,0.2456,0.242,0.2461,0.242,17.85M,0.0149
2020-09-15,0.2434,0.2456,0.248,0.2431,21.93M,-0.009
2020-09-16,0.2468,0.2434,0.2468,0.2409,27.70M,0.014
2020-09-17,0.2521,0.2468,0.2523,0.2468,32.51M,0.0215
2020-09-18,0.2507,0.2521,0.254,0.2487,19.68M,-0.0056
2020-09-19,0.2513,0.2506,0.2526,0.2492,18.65M,0.0024
2020-09-20,0.2465,0.2508,0.2508,0.2465,17.71M,-0.0191
2020-09-21,0.2307,0.2461,0.247,0.2307,40.56M,-0.0641
2020-09-22,0.2331,0.231,0.2342,0.2303,18.75M,0.0104
2020-09-23,0.2214,0.233,0.233,0.2214,22.29M,-0.0502
2020-09-24,0.2327,0.2216,0.2327,0.2216,27.68M,0.051
2020-09-25,0.2415,0.2327,0.2418,0.2307,25.95M,0.0378
2020-09-26,0.2415,0.2418,0.2438,0.2406,16.89M,0
2020-09-27,0.2432,0.2416,0.2438,0.2395,16.58M,0.007
2020-09-28,0.241,0.2435,0.246,0.241,16.29M,-0.009
2020-09-29,0.2429,0.2409,0.2446,0.2402,22.01M,0.0079
2020-09-30,0.2418,0.2429,0.2429,0.2401,16.86M,-0.0045
2020-10-01,0.2383,0.2418,0.2435,0.237,22.29M,-0.0145
2020-10-02,0.2339,0.2381,0.2381,0.2296,28.73M,-0.0185
2020-10-03,0.2328,0.2339,0.2342,0.2328,9.68M,-0.0047
